place_id,slot,date,time,rater,weather,temp_f,lux,kelvin,db_mean,db_peak,db_variability,seats_total,seats_occupied,people_visible,enclosure,complexity,greenery,daylight,seat_comfort,privacy,talk_ok,thermal,outlets,wifi,food_drink,restroom,table_surface,back_to_wall,photo_wide,photo_pov,photo_light,notes
p27,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p27,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p27,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p27,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p28,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p28,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p28,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p28,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p28,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p29,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p29,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p29,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p29,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p29,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p30,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p30,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p30,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p30,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p30,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p31,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
